"","database_identifier","chemical_formula","smiles","inchi","metabolite_identification","mass_to_charge","fragmentation","modifications","charge","retention_time","taxid","species","database","database_version","reliability","uri","search_engine","search_engine_score","smallmolecule_abundance_sub","smallmolecule_abundance_stdev_sub","smallmolecule_abundance_std_error_sub"
"18","CHEBI:64560","C24H48NO7P","[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC",NA,"LysoPC(16:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CHEBI:64561","C26H54NO7P","[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC",NA,"LysoPC(18:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CHEBI:64566","C26H52NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"LysoPC(18:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","CHEBI:64549","C26H50NO7P","[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC",NA,"LysoPC(18:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","CHEBI:64565","C26H48NO7P","C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O",NA,"LysoPC(18:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CHEBI:138336","C26H48NO6P","[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]",NA,"LysoPC(18:4e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","CHEBI:64481","C28H52NO7P","[H][C@@](COC(C)=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O",NA,"LysoPC(20:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","CHEBI:64568","C28H50NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"LysoPC(20:4)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CHEBI:64559","C28H48NO7P","[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC",NA,"LysoPC(20:5)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CHEBI:74349","C30H52NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"LysoPC(22:5)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CHEBI:64567","C30H50NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"LysoPC(22:6)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","CHEBI:64576","C23H48NO7P","[H][C@@](COC)(COP(O)(=O)OCCN)OC",NA,"LysoPE(18:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CHEBI:91296","C23H44NO7P","[C@](CO*)(O*)([H])COP(OCCN)(=O)O",NA,"LysoPE(18:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CHEBI:132557","C25H50NO7P","[C@](CO*)(O*)([H])COP(OCCN)(=O)O",NA,"LysoPE(20:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","CHEBI:72735","C25H46NO7P","[H][C@@](CO[*])(COP(O)(=O)OCCN)O[*]",NA,"LysoPE(20:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CHEBI:85565","C38H78NO7P","C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]",NA,"PC(30:0e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CHEBI:65300","C38H70NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(30:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CHEBI:72426","C39H76NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(31:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CHEBI:71720","C39H76NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[NH3+])OC([*])=O",NA,"PE(34:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CHEBI:66850","C40H80NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(32:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CHEBI:66849","C40H78NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(32:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CHEBI:66848","C40H76NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(32:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","CHEBI:85853","C41H78NO8P","C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O",NA,"PC(33:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","CHEBI:71728","C41H78NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[NH3+])OC([*])=O",NA,"PE(36:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","CHEBI:64517","C42H82NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(34:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CHEBI:64516","C42H80NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(34:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CHEBI:64544","C42H82NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"PC(34:2e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CHEBI:64424","C42H78NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(34:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CHEBI:64541","C42H80NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"PC(34:3e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CHEBI:91174","C42H80NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[NH3+])O[*]",NA,"PE(37:3e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","CHEBI:85766","C43H82NO8P","C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC([*])=O)OC([*])=O",NA,"PC(35:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CHEBI:66858","C44H88NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(36:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","CHEBI:66857","C44H86NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(36:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","CHEBI:64433","C44H84NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(36:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","CHEBI:64523","C44H82NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(36:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","CHEBI:64520","C44H80NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(36:4)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CHEBI:67064","C44H82NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"PC(36:4e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","CHEBI:64504","C44H78NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(36:5)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","CHEBI:66856","C44H76NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(36:6)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","CHEBI:136072","C45H86NO8P","[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]",NA,"PC(37:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CHEBI:66860","C46H90NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(38:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CHEBI:67070","C46H92NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"PC(38:1e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","CHEBI:66859","C46H88NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(38:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CHEBI:64446","C46H86NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(38:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CHEBI:67068","C46H88NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"PC(38:3e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CHEBI:64526","C46H84NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(38:4)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CHEBI:64525","C46H82NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(38:5)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CHEBI:64445","C46H84NO7P","[H][C@@](COC)(COP([O-])(=O)OCC[N+](C)(C)C)OC",NA,"PC(38:5e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CHEBI:64519","C46H80NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(38:6)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CHEBI:64498","C46H78NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(38:7)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","CHEBI:64539","C46H80NO7P","[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]",NA,"PC(38:7e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","CHEBI:66866","C48H96NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(40:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CHEBI:66865","C48H94NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(40:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","CHEBI:66864","C48H92NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(40:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CHEBI:66863","C48H90NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(40:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CHEBI:85570","C48H92NO7P","C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]",NA,"PC(40:3e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CHEBI:66862","C48H88NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(40:4)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CHEBI:85571","C48H90NO7P","C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](CO[*])O[*]",NA,"PC(40:4e)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","CHEBI:64524","C48H86NO8P","[H][C@@](COC([*])=O)(COP([O-])(=O)OCC[N+](C)(C)C)OC([*])=O",NA,"PC(40:5)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
