"","database_identifier","chemical_formula","smiles","inchi","metabolite_identification","mass_to_charge","fragmentation","modifications","charge","retention_time","taxid","species","database","database_version","reliability","uri","search_engine","search_engine_score","smallmolecule_abundance_sub","smallmolecule_abundance_stdev_sub","smallmolecule_abundance_std_error_sub"
"26","CHEBI:16000","C2H7NO","NCCO","InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2","Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-N-[2-[(trimethylsilyl)oxy]ethyl]-",NA,NA,NA,NA,445.829,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CHEBI:25017","C6H13NO2","CC(C)CC(N)C(O)=O","InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)","Leucine_1252_1TMS",NA,NA,NA,NA,448.529,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CHEBI:17754","C3H8O3","OCC(O)CO","InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2","Trimethylsilyl ether of glycerol",NA,NA,NA,NA,454.379,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","unknown",NA,NA,NA,"Unknown 12",NA,NA,NA,NA,455.929,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CHEBI:32927","C19H40","CCCCCCCCCCCCCCCCCCC","InChI=1S/C19H40/c1-3-5-7-9-11-13-15-17-19-18-16-14-12-10-8-6-4-2/h3-19H2,1-2H3","Nonadecane",NA,NA,NA,NA,457.829,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CHEBI:16148","C17H36","CCCCCCCCCCCCCCCCC","InChI=1S/C17H36/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h3-17H2,1-2H3","Heptadecane",NA,NA,NA,NA,461.779,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","CHEBI:24898","C6H13NO2",NA,NA,"Isoleucine_1285_1TMS",NA,NA,NA,NA,464.179,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","unknown",NA,NA,NA,"Unknown 13",NA,NA,NA,NA,464.479,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","unknown",NA,NA,NA,"Unknown 14",NA,NA,NA,NA,467.929,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","unknown",NA,NA,NA,"Unknown 15",NA,NA,NA,NA,468.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CHEBI:25017","C6H13NO2","CC(C)CC(N)C(O)=O","InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)","Leucine_1306_2TMS",NA,NA,NA,NA,470.879,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","unknown",NA,NA,NA,"Unknown 16",NA,NA,NA,NA,473.679,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CHEBI:340824","CH5O4P","COP(O)(O)=O","InChI=1S/CH5O4P/c1-5-6(2,3)4/h1H3,(H2,2,3,4)","Phosphoric acid, bis(trimethylsilyl)monomethyl ester",NA,NA,NA,NA,480.929,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CHEBI:139061","C6H12O2","O(C(C)(C)C(=O)C)C","InChI=1S/C6H12O2/c1-5(7)6(2,3)8-4/h1-4H3","2-Butanone, 3-methoxy-3-methyl-",NA,NA,NA,NA,482.129,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","CHEBI:17191","C6H13NO2","CC[C@H](C)[C@H](N)C(O)=O","InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1","L-Isoleucine, N-(trimethylsilyl)-, trimethylsilyl ester",NA,NA,NA,NA,483.579,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","unknown",NA,NA,NA,"Unknown 17",NA,NA,NA,NA,486.379,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","CHEBI:132194","C2H5NO2","C(C(N([2H])[2H])([2H])[2H])(=O)O[2H]","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)/i1D2/hD3","Glycine d5_1343_3TMS",NA,NA,NA,NA,486.979,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CHEBI:15428","C2H5NO2","NCC(O)=O","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)","Glycine_1344_3TMS",NA,NA,NA,NA,487.879,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","unknown",NA,NA,NA,"Unknown 18",NA,NA,NA,NA,488.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","unknown",NA,NA,NA,"Unknown 19",NA,NA,NA,NA,490.879,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CHEBI:26078","H3O4P","[H]OP(=O)(O[H])O[H]","InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)","Phosphate_1372_4TMS",NA,NA,NA,NA,499.529,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","unknown",NA,NA,NA,"Unknown 20",NA,NA,NA,NA,500.379,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","CHEBI:26271","C5H9NO2","OC(=O)C1CCCN1","InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)","Proline_1381_2TMS",NA,NA,NA,NA,505.129,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CHEBI:26986","C4H9NO3",NA,NA,"Threonine_1384_2TMS",NA,NA,NA,NA,508.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","unknown",NA,NA,NA,"Unknown 21",NA,NA,NA,NA,510.579,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","CHEBI:17822","C3H7NO3","NC(CO)C(O)=O","InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)","Serine_1408_3TMS",NA,NA,NA,NA,513.479,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","CHEBI:16199","CH4N2O","NC(N)=O","InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)","Urea, N,N'-bis(trimethylsilyl)-",NA,NA,NA,NA,516.979,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","CHEBI:26986","C4H9NO3",NA,NA,"Threonine_1411_3TMS",NA,NA,NA,NA,519.579,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","unknown",NA,NA,NA,"Unknown 22",NA,NA,NA,NA,526.479,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","unknown",NA,NA,NA,"Unknown 23",NA,NA,NA,NA,526.879,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","CHEBI:74110","C22H47N","CCCCCCCCCCCNCCCCCCCCCCC","InChI=1S/C22H47N/c1-3-5-7-9-11-13-15-17-19-21-23-22-20-18-16-14-12-10-8-6-4-2/h23H,3-22H2,1-2H3","di-n-Undecylamine",NA,NA,NA,NA,527.579,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","unknown",NA,NA,NA,"Unknown 24",NA,NA,NA,NA,529.029,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","unknown",NA,NA,NA,"Unknown 25",NA,NA,NA,NA,529.579,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,"Benzene, 1,1'-(1,1,10,10-tetramethyl-1,10-decanediyl)bis[3,4-dimethyl-",NA,NA,NA,NA,529.879,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","unknown",NA,NA,NA,"Unknown 26",NA,NA,NA,NA,530.429,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","unknown",NA,NA,NA,"Unknown 27",NA,NA,NA,NA,532.429,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","unknown",NA,NA,NA,"Unknown 28",NA,NA,NA,NA,533.429,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CHEBI:86348","C4H8O4","OCCC(O)C(O)=O","InChI=1S/C4H8O4/c5-2-1-3(6)4(7)8/h3,5-6H,1-2H2,(H,7,8)","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",NA,NA,NA,NA,539.229,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CHEBI:16958","C3H7NO2","NCCC(O)=O","InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)","beta-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester",NA,NA,NA,NA,543.479,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CHEBI:139062","C12H26","C(CCCC(C)C)(C(C)C)CC","InChI=1S/C12H26/c1-6-12(11(4)5)9-7-8-10(2)3/h10-12H,6-9H2,1-5H3","Octane, 3-ethyl-2,7-dimethyl-",NA,NA,NA,NA,548.429,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CHEBI:17568","C4H4N2O2","O=c1cc[nH]c(=O)[nH]1","InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)","Uracil_1481_2TMS",NA,NA,NA,NA,555.679,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CHEBI:32927","C19H40","CCCCCCCCCCCCCCCCCCC","InChI=1S/C19H40/c1-3-5-7-9-11-13-15-17-19-18-16-14-12-10-8-6-4-2/h3-19H2,1-2H3","Nonadecane:2",NA,NA,NA,NA,556.479,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","CHEBI:15940","C6H5NO2","OC(=O)c1cccnc1","InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)","Nicotinic acid_1493_1TMS",NA,NA,NA,NA,559.679,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","CHEBI:28897","C15H32","CCCCCCCCCCCCCCC","InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3","Pentadecane",NA,NA,NA,NA,573.479,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","unknown",NA,NA,NA,"Unknown 29",NA,NA,NA,NA,574.929,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","unknown",NA,NA,NA,"Unknown 30",NA,NA,NA,NA,577.629,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","unknown",NA,NA,NA,"Unknown 31",NA,NA,NA,NA,578.579,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CHEBI:6650","C4H6O5","OC(CC(O)=O)C(O)=O","InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)","Malic acid, tris(trimethylsilyl) ester",NA,NA,NA,NA,581.229,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","unknown",NA,NA,NA,"Unknown 32",NA,NA,NA,NA,583.979,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CHEBI:22660","C4H7NO4","NC(CC(O)=O)C(O)=O","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)","Aspartic acid_1553_2TMS",NA,NA,NA,NA,586.379,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","CHEBI:16865","C4H9NO2","NCCCC(O)=O","InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)","4-aminobutyric acid_1561_3TMS",NA,NA,NA,NA,587.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","CHEBI:17053","C4H7NO4","N[C@@H](CC(O)=O)C(O)=O","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester",NA,NA,NA,NA,593.179,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","unknown",NA,NA,NA,"Unknown 33",NA,NA,NA,NA,598.929,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","unknown",NA,NA,NA,"Unknown 34",NA,NA,NA,NA,601.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","CHEBI:139063","C7H14O6","CO[C@@]1([H])O[C@@]([H])([C@]([H])(O)CO)[C@H](O)[C@H]1O","InChI=1S/C7H14O6/c1-12-7-5(11)4(10)6(13-7)3(9)2-8/h3-11H,2H2,1H3/t3-,4-,5-,6+,7+/m1/s1","Galactofuranoside, methyl 2,3,5,6-tetrakis-O-(trimethylsilyl)-, alpha-D-",NA,NA,NA,NA,610.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","unknown",NA,NA,NA,"Unknown 35",NA,NA,NA,NA,611.829,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CHEBI:16811","C5H11NO2S","CSCCC(N)C(O)=O","InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)","Methionine_1637_2TMS",NA,NA,NA,NA,613.129,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","unknown",NA,NA,NA,"Unknown 36",NA,NA,NA,NA,614.129,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","unknown",NA,NA,NA,"Unknown 37",NA,NA,NA,NA,615.929,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","CHEBI:17084","C5H8O5","OC(CCC(O)=O)C(O)=O","InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)","2-hydroxyglutaric acid_1641_3TMS",NA,NA,NA,NA,616.379,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","CHEBI:18222","C5H10O5",NA,NA,"Xylose_1661_4TMS",NA,NA,NA,NA,618.979,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","unknown",NA,NA,NA,"Unknown 38",NA,NA,NA,NA,621.429,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","CHEBI:17148","C4H12N2","NCCCCN","InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2","Putrescine_1687_4TMS",NA,NA,NA,NA,628.429,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","CHEBI:28300","C5H10N2O3","NC(CCC(N)=O)C(O)=O","InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)","Glutamine_1689_3TMS",NA,NA,NA,NA,630.729,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
