"","database_identifier","chemical_formula","smiles","inchi","metabolite_identification","mass_to_charge","fragmentation","modifications","charge","retention_time","taxid","species","database","database_version","reliability","uri","search_engine","search_engine_score","smallmolecule_abundance_sub","smallmolecule_abundance_stdev_sub","smallmolecule_abundance_std_error_sub"
"14","CHEBI:68502","C7H12O4","CC(C)(CC(O)=O)CC(O)=O","InChI=1S/C7H12O4/c1-7(2,3-5(8)9)4-6(10)11/h3-4H2,1-2H3,(H,8,9)(H,10,11)","3,3-Dimethylglutaric acid",NA,NA,NA,NA,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"15","CHEBI:41941","C8H8O4","OC(=O)Cc1ccc(O)c(O)c1","InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)","3,4-Dihydroxybenzeneacetic acid",NA,NA,NA,NA,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"16","CHEBI:39912","C7H6O4","OC(=O)c1cc(O)cc(O)c1","InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)","3,5-dihydroxybenzoic acid",153.018293,NA,"[(M-H)]-",1,4.83,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"17","CHEBI:36062","C7H6O4","C(=O)(C1=CC(=C(C=C1)O)O)O","InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)","3,4-dihydroxybenzoic acid",153.018293,NA,"[(M-H)]-",1,4.83,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"18","CHEBI:68531","C7H8N4O3","Cn1c2[nH]c(=O)n(C)c2c(=O)[nH]c1=O","InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)11(2)7(14)9-5(3)12/h1-2H3,(H,8,13)(H,9,12,14)","3,7-Dimethyluric acid",195.051734,NA,"[(M-H)]-",1,4.3,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"19","CHEBI:17069","C7H8O2","OCc1cccc(O)c1","InChI=1S/C7H8O2/c8-5-6-2-1-3-7(9)4-6/h1-4,8-9H,5H2","3-Hydroxybenzyl alcohol",123.044472,NA,"[(M-H)]-",1,5.26,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"20","CHEBI:17445","C8H8O3","OC(=O)Cc1cccc(O)c1","InChI=1S/C8H8O3/c9-7-3-1-2-6(4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)","3-Hydroxyphenylacetic acid",151.03922,NA,"[(M-H)]-",1,6.06,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"21","CHEBI:68486","C15H15NO8","O[C@H]1[C@@H](OC([C@@H](O)[C@@H]1O)C(O)=O)OC(=O)c1c[nH]c2ccccc12","InChI=1S/C15H15NO8/c17-9-10(18)12(13(20)21)23-15(11(9)19)24-14(22)7-5-16-8-4-2-1-3-6(7)8/h1-5,9-12,15-19H,(H,20,21)/t9-,10-,11+,12?,15-/m0/s1","3-Indole carboxylic acid glucuronide",336.072846,NA,"[(M-H)]-",1,6.2,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"22","CHEBI:35932","C6H10O3","CCC(C)C(=O)C(O)=O","InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)","3-Methyl-2-oxovaleric acid",129.054965,NA,"[(M-H)]-",1,5.37,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"23","CHEBI:68499","C7H11NO3","CC(C)=CC(=O)NCC(O)=O","InChI=1S/C7H11NO3/c1-5(2)3-6(9)8-4-7(10)11/h3H,4H2,1-2H3,(H,8,9)(H,10,11)","3-Methylcrotonylglycine",156.065767,NA,"[(M-H)]-",1,5.2,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"24","CHEBI:17645","C6H11NO3","CC(=O)NCCCC(O)=O","InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)","4-Acetamidobutanoic acid isomer 2",NA,NA,NA,NA,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"25","CHEBI:17645","C6H11NO3","CC(=O)NCCCC(O)=O","InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)","4-Acetamidobutanoic acid isomer 3",NA,NA,NA,NA,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"26","CHEBI:30763","C7H6O3","OC(=O)c1ccc(O)cc1","InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)","4-Hydroxybenzoic acid",137.023583,NA,"[(M-H)]-",1,5.65,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"27","CHEBI:68552","C10H11NO3","Cc1ccc(cc1)C(=O)NCC(O)=O","InChI=1S/C10H11NO3/c1-7-2-4-8(5-3-7)10(14)11-6-9(12)13/h2-5H,6H2,1H3,(H,11,14)(H,12,13)","4-Methylhippuric acid",192.065356,NA,"[(M-H)]-",1,6.62,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"28","CHEBI:68500","C10H11NO3","Cc1cccc(c1)C(=O)NCC(O)=O","InChI=1S/C10H11NO3/c1-7-3-2-4-8(5-7)10(14)11-6-9(12)13/h2-5H,6H2,1H3,(H,11,14)(H,12,13)","3-Methylhippuric acid",192.065356,NA,"[(M-H)]-",1,6.62,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"29","CHEBI:27823","C10H9NO3","OC(=O)Cc1c[nH]c2ccc(O)cc12","InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)","5-Hydroxyindoleacetic acid",190.050594,NA,"[(M-H)]-",1,5.68,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"30","CHEBI:68555","C7H6O6S","OC(=O)c1cc(ccc1O)S(O)(=O)=O","InChI=1S/C7H6O6S/c8-6-2-1-4(14(11,12)13)3-5(6)7(9)10/h1-3,8H,(H,9,10)(H,11,12,13)","5-Sulfosalicylic acid",216.980834,NA,"[(M-H)]-",1,5.28,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"31","CHEBI:84086","C8H14O5","OCCOC(=O)CCCCC(O)=O","InChI=1S/C8H14O5/c9-5-6-13-8(12)4-2-1-3-7(10)11/h9H,1-6H2,(H,10,11)","6-(2-hydroxyethoxy)-6-oxohexanoic acid",189.07674,NA,"[(M-H)]-",1,5.35,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"32","CHEBI:84088","C8H14O5","OC(=O)CCCCCOCC(O)=O","InChI=1S/C8H14O5/c9-7(10)4-2-1-3-5-13-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)","6-(carboxymethoxy)-hexanoic acid",189.07674,NA,"[(M-H)]-",1,5.65,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"33","CHEBI:137296","C6H6N4O2","CN1C=NC2=C1NC(NC2=O)=O","InChI=1S/C6H6N4O2/c1-10-2-7-3-4(10)8-6(12)9-5(3)11/h2H,1H3,(H2,8,9,11,12)","9-Methylxanthine",165.0411,NA,"[(M-H)]-",1,4.3,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"34","CHEBI:32636","C14H17NO8","CC(=O)Nc1ccc(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)cc1","InChI=1S/C14H17NO8/c1-6(16)15-7-2-4-8(5-3-7)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h2-5,9-12,14,17-19H,1H3,(H,15,16)(H,20,21)/t9-,10-,11+,12-,14+/m0/s1","Acetaminophen glucuronide",326.087035,NA,"[(M-H)]-",1,4.12,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"35","CHEBI:16259","C11H13NO3","CC(=O)N[C@@H](Cc1ccccc1)C(O)=O","InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)/t10-/m0/s1","Acetylphenylalanine",206.08069,NA,"[(M-H)]-",1,6.6,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"36","CHEBI:17884","C13H16N2O4","NC(=O)CC[C@H](NC(=O)Cc1ccccc1)C(O)=O","InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1","alpha-N-Phenylacetyl-glutamine",NA,NA,NA,NA,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"37","CHEBI:68589","C9H10N2O4","Nc1ccc(O)c(c1)C(=O)NCC(O)=O","InChI=1S/C9H10N2O4/c10-5-1-2-7(12)6(3-5)9(15)11-4-8(13)14/h1-3,12H,4,10H2,(H,11,15)(H,13,14)","Aminosalicyluric acid",209.055518,NA,"[(M-H)]-",1,4.5,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"38","CHEBI:22660","C4H7NO4","NC(CC(O)=O)C(O)=O","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)","Aspartic acid",132.02947,NA,"[(M-H)]-",1,0.89,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"39","CHEBI:68596","C10H18N2O5","CC(C)C[C@H](NC(=O)[C@@H](N)CC(O)=O)C(O)=O","InChI=1S/C10H18N2O5/c1-5(2)3-7(10(16)17)12-9(15)6(11)4-8(13)14/h5-7H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,7-/m0/s1","Asp-Leu/Ile isomer 1",NA,NA,NA,NA,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"40","CHEBI:68599","C10H18N2O5","CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(O)=O)C(O)=O","InChI=1S/C10H18N2O5/c1-3-5(2)8(10(16)17)12-9(15)6(11)4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t5-,6-,8-/m0/s1","Asp-Leu/Ile isomer 2",NA,NA,NA,NA,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"41","CHEBI:48131","C9H16O4","OC(=O)CCCCCCCC(O)=O","InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)","Azelaic acid",187.097224,NA,"[(M-H)]-",1,7.01,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"42","CHEBI:30746","C7H6O2","OC(=O)c1ccccc1","InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)","Benzoic acid isomer",121.02915,NA,"[(M-H)]-",1,5.38,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"43","CHEBI:16755","C24H40O4","[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(O)=O","InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20-,22+,23+,24-/m1/s1","Chenodeoxycholic acid isomer",448.30489,NA,"[(M-H)]-",1,8.86,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"44","CHEBI:68616","C11H11NO3","OC(=O)CNC(=O)C=Cc1ccccc1","InChI=1S/C11H11NO3/c13-10(12-8-11(14)15)7-6-9-4-2-1-3-5-9/h1-7H,8H2,(H,12,13)(H,14,15)/b7-6+","Cinnamoylglycine",204.065452,NA,"[(M-H)]-",1,7.03,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"45","CHEBI:30769","C6H8O7","OC(=O)CC(O)(CC(O)=O)C(O)=O","InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)","Citric acid",191.019335,NA,"[(M-H)]-",1,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"46","CHEBI:68834","C25H36O8","[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H])O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","InChI=1S/C25H36O8/c1-24-9-7-13(32-23-20(29)18(27)19(28)21(33-23)22(30)31)11-12(24)3-4-14-15-5-6-17(26)25(15,2)10-8-16(14)24/h3,13-16,18-21,23,27-29H,4-11H2,1-2H3,(H,30,31)/t13-,14-,15-,16-,18-,19-,20+,21-,23+,24-,25-/m0/s1","Dehydroepiandrosterone 3-glucuronide",463.2329,NA,"[(M-H)]-",1,8.2,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"47","CHEBI:16814","C19H28O5S","C1[C@@]2([C@@]([C@@]3(C(C[C@@H](OS(O)(=O)=O)CC3)=C1)C)(CC[C@]4([C@]2(CCC4=O)[H])C)[H])[H]","InChI=1S/C19H28O5S/c1-18-9-7-13(24-25(21,22)23)11-12(18)3-4-14-15-5-6-17(20)19(15,2)10-8-16(14)18/h3,13-16H,4-11H2,1-2H3,(H,21,22,23)/t13-,14-,15-,16-,18-,19-/m0/s1","Dehydroepiandrosterone sulfate",367.156657,NA,"[(M-H)]-",1,8.28,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"48","CHEBI:23628","C6H12O5",NA,NA,"Deoxyhexose",163.060423,NA,"[(M-H)]-",1,0.91,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"49","CHEBI:25307","C12H17N5O5",NA,NA,"Dimethylguanosine",310.114597,NA,"[(M-H)]-",1,4.71,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"50","CHEBI:16048","C17H23N4O9P","Cc1cc2Nc3c([nH]c(=O)[nH]c3=O)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)c2cc1C","InChI=1S/C17H23N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,18,22-24H,5-6H2,1-2H3,(H2,27,28,29)(H2,19,20,25,26)/t11-,12+,14-/m0/s1","FMNH2",457.113076,NA,"[(M-H)]-",1,5.7,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"51","CHEBI:18012","C4H4O4","OC(=O)C=CC(O)=O","InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+","Fumaric acid",115.00314,NA,"[(M-H)]-",1,1.1,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"52","CHEBI:17189","C7H6O4","OC(=O)c1cc(O)ccc1O","InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)","Gentisic acid",NA,NA,NA,NA,NA,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"53","CHEBI:33198","C6H12O7","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1","Gluconic acid and/or isomers",195.049814,NA,"[(M-H)]-",1,0.88,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"54","CHEBI:28860","C6H10O7","O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6+/m0/s1","Glucuronic acid and/or isomers",193.034589,NA,"[(M-H)]-",1,0.85,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"55","CHEBI:68846","C10H18N2O5","CC(C)[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O","InChI=1S/C10H18N2O5/c1-5(2)8(10(16)17)12-9(15)6(11)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,8-/m0/s1","Glu-Val",245.112506,NA,"[(M-H)]-",1,4.4,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"56","CHEBI:33508","C3H6O4","OCC(O)C(O)=O","InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)","Glyceric acid",105.018901,NA,"[(M-H)]-",1,0.92,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"57","CHEBI:17687","C26H43NO6","C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1","Glycocholic acid isomer 1",464.30083,NA,"[(M-H)]-",1,7.5,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"58","CHEBI:17687","C26H43NO6","C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1","Glycocholic acid isomer 2",464.30083,NA,"[(M-H)]-",1,7.75,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
