name,formula,adducts,mz,ccs
PC 32:01,C40H78NO8P,[M+H],732.5543,276.5
PC 34:01,C42H82NO8P,[M+H],760.5856,281.97
PC 34:02,C42H80NO8P,[M+H],758.5699,279.51
PC 34:03,C42H78NO8P,[M+H],756.5543,277.12
PC 35:01,C43H84NO8P,[M+H],774.6013,284.63
PC 36:01,C44H86NO8P,[M+H],788.6169,288.22
PC 36:02,C44H84NO8P,[M+H],786.6012,285.92
PC 32:00,C40H80NO8P,[M+Na],756.5519,280.56
PC 32:01,C40H78NO8P,[M+Na],754.5362,279.16
PC 32:02,C40H76NO8P,[M+Na],752.5206,276.86
PC 34:01,C42H82NO8P,[M+Na],782.5675,284.83
PC 34:02,C42H80NO8P,[M+Na],780.5519,283.1
PC 34:03,C42H78NO8P,[M+Na],778.5363,281.98
PC 35:01,C43H84NO8P,[M+Na],796.5832,287.14
PC 35:02,C43H82NO8P,[M+Na],794.5675,285.81
PC 36:01,C44H86NO8P,[M+Na],810.5988,290.25
PC 36:02,C44H84NO8P,[M+Na],808.5832,288.63
PC 36:03,C44H82NO8P,[M+Na],806.5675,287.02
PC 36:04,C44H80NO8P,[M+Na],804.5519,285.05
PC 38:03,C46H86NO8P,[M+Na],834.5988,293.06
PC 40:04,C48H88NO8P,[M+Na],860.6145,297.42
PC 40:05,C48H86NO8P,[M+Na],858.5988,295.77
PC 40:06,C48H84NO8P,[M+Na],856.5832,294.42
PC 36:02,C44H84NO9P,[M+Na],824.5781,290.28
PC 36:03,C44H82NO9P,[M+Na],822.5625,288.9
PC 36:04,C44H80NO9P,[M+Na],820.5468,286.94
PS 36:01,C42H80NO10P,[M+H],790.5598,283.39
PS 36:02,C42H78NO10P,[M+H],788.5441,280.92
PS 38:01,C44H84NO10P,[M+H],818.5911,289.63
PS 38:02,C44H82NO10P,[M+H],816.5754,287.73
PS 38:04,C44H78NO10P,[M+H],812.5441,284.44
PS 38:05,C44H76NO10P,[M+H],810.5285,281.67
PS 40:01,C46H88NO10P,[M+H],846.6224,295.93
PS 40:02,C46H86NO10P,[M+H],844.6067,294.02
PS 40:03,C46H84NO10P,[M+H],842.5911,292.62
PS 40:04,C46H82NO10P,[M+H],840.5754,291.15
PS 40:05,C46H80NO10P,[M+H],838.5598,289.6
PS 40:06,C46H78NO10P,[M+H],836.5441,287.73
PS 42:01,C48H92NO10P,[M+H],874.6537,301.86
PS 42:02,C48H90NO10P,[M+H],872.638,299.5
PS 42:03,C48H88NO10P,[M+H],870.6224,298.03
PS 42:04,C48H86NO10P,[M+H],868.6067,296.39
PS 42:05,C48H84NO10P,[M+H],866.5911,295.24
PS 40:03,C46H84NO10P,[M+Na],864.573,296.28
PS 40:04,C46H82NO10P,[M+Na],862.5574,295.22
PS 40:05,C46H80NO10P,[M+Na],860.5417,293.82
PS 40:06,C46H78NO10P,[M+Na],858.5261,291.7
PS 40:07,C46H76NO10P,[M+Na],856.5104,289.65
PS 42:01,C48H92NO10P,[M+Na],896.6356,303.25
PS 42:02,C48H90NO10P,[M+Na],894.62,302
PS 42:04,C48H86NO10P,[M+Na],890.5887,298.86
PS 42:05,C48H84NO10P,[M+Na],888.573,297.67
PS 44:10,C50H78NO10P,[M+Na],906.5261,296.88
SM 34:01,C39H79N2O6P,[M+H],703.5754,280.06
SM 36:01,C41H83N2O6P,[M+H],731.6067,286.24
SM 36:02,C41H81N2O6P,[M+H],729.591,284.15
SM 37:01,C42H85N2O6P,[M+H],745.6223,288.67
SM 38:01,C43H87N2O6P,[M+H],759.638,292.26
SM 39:01,C44H89N2O6P,[M+H],773.6536,295.85
SM 40:00,C45H93N2O6P,[M+H],789.6849,299.61
SM 40:01,C45H91N2O6P,[M+H],787.6693,297.88
SM 40:02,C45H89N2O6P,[M+H],785.6536,295.66
SM 41:00,C46H95N2O6P,[M+H],803.7006,302.29
SM 41:01,C46H93N2O6P,[M+H],801.6849,301.14
SM 41:02,C46H91N2O6P,[M+H],799.6693,298.91
SM 42:00,C47H97N2O6P,[M+H],817.7162,305.33
SM 42:01,C47H95N2O6P,[M+H],815.7006,303.17
SM 42:02,C47H93N2O6P,[M+H],813.6849,301.43
SM 42:03,C47H91N2O6P,[M+H],811.6693,299.58
SM 42:04,C47H89N2O6P,[M+H],809.6536,297.81
SM 43:01,C48H97N2O6P,[M+H],829.7162,306.91
SM 43:02,C48H95N2O6P,[M+H],827.7006,304.47
SM 44:01,C49H99N2O6P,[M+H],843.7319,309.76
SM 44:02,C49H97N2O6P,[M+H],841.7162,307.52
SM 34:01,C39H79N2O6P,[M+Na],725.5573,278.77
SM 35:01,C40H81N2O6P,[M+Na],739.573,280.61
SM 36:01,C41H83N2O6P,[M+Na],753.5886,285.86
SM 36:02,C41H81N2O6P,[M+Na],751.573,280.32
SM 37:01,C42H85N2O6P,[M+Na],767.6043,285.35
SM 38:01,C43H87N2O6P,[M+Na],781.6199,292.18
SM 39:01,C44H89N2O6P,[M+Na],795.6356,294.58
SM 40:01,C45H91N2O6P,[M+Na],809.6512,296
SM 40:02,C45H89N2O6P,[M+Na],807.6356,292.53
SM 41:01,C46H93N2O6P,[M+Na],823.6669,299.31
SM 41:02,C46H91N2O6P,[M+Na],821.6512,296.38
SM 42:01,C47H95N2O6P,[M+Na],837.6825,302.6
SM 42:02,C47H93N2O6P,[M+Na],835.6669,300.53
SM 42:03,C47H91N2O6P,[M+Na],833.6512,297.59
SM 43:01,C48H97N2O6P,[M+Na],851.6982,304.16
SM 43:02,C48H95N2O6P,[M+Na],849.6825,303.6
SM 44:01,C49H99N2O6P,[M+Na],865.7138,307.86
SM 44:02,C49H97N2O6P,[M+Na],863.6982,306.5
SM 44:03,C49H95N2O6P,[M+Na],861.6825,304.66
SM 42:01,C47H95N2O7P,[M+Na],853.6774,307.9
GlcCer 36:00,C42H83NO8,[M+H],730.6197,284.59
GlcCer 36:01,C42H81NO8,[M+H],728.604,282.43
GlcCer 36:02,C42H79NO8,[M+H],726.5884,281.37
GlcCer 38:00,C44H87NO8,[M+H],758.651,290.18
GlcCer 38:01,C44H85NO8,[M+H],756.6353,288.15
GlcCer 38:02,C44H83NO8,[M+H],754.6197,287.87
GlcCer 38:03,C44H81NO8,[M+H],752.6016,284.43
GlcCer 40:00,C46H91NO8,[M+H],786.6823,296.24
GlcCer 40:01,C46H89NO8,[M+H],784.6666,293.87
GlcCer 40:02,C46H87NO8,[M+H],782.651,293.98
GlcCer 41:01,C47H91NO8,[M+H],798.6823,297.12
GlcCer 42:00,C48H95NO8,[M+H],814.7136,302.3
GlcCer 42:01,C48H93NO8,[M+H],812.6979,300.59
GlcCer 42:02,C48H91NO8,[M+H],810.6823,299.26
GlcCer 43:02,C49H93NO8,[M+H],824.6979,302.04
GlcCer 44:01,C50H97NO8,[M+H],840.7292,306.44
GlcCer 44:02,C50H95NO8,[M+H],838.7136,305.11
GlcCer 40:00,C46H91NO9,[M+H],802.6772,300.24
GlcCer 42:00,C48H95NO9,[M+H],830.7085,306.06
GlcCer 42:01,C48H93NO9,[M+H],828.6928,304.71
GlcCer 42:03,C48H89NO9,[M+H],824.6615,300.42
GlcCer 42:04,C48H87NO9,[M+H],822.6459,299
GlcCer 44:00,C50H99NO9,[M+H],858.7398,311.87
GlcCer 44:01,C50H97NO9,[M+H],856.7241,310.59
GlcCer 44:02,C50H95NO9,[M+H],854.7085,309.02
GlcCer 45:00,C51H101NO9,[M+H],872.7554,315.02
GlcCer 46:04,C52H95NO9,[M+H],878.7085,309.46
GlcCer 46:05,C52H93NO9,[M+H],876.6928,308.65
GlcCer 34:00,C40H79NO8,[M+Na],724.5703,280.92
GlcCer 34:01,C40H77NO8,[M+Na],722.5547,278.95
GlcCer 36:01,C42H81NO8,[M+Na],750.586,284
GlcCer 36:02,C42H79NO8,[M+Na],748.5703,281.52
GlcCer 37:01,C43H83NO8,[M+Na],764.6016,287.43
GlcCer 38:00,C44H87NO8,[M+Na],780.6329,291.27
GlcCer 38:01,C44H85NO8,[M+Na],778.6173,290.52
GlcCer 38:02,C44H83NO8,[M+Na],776.6016,287.34
GlcCer 39:01,C45H87NO8,[M+Na],792.6329,291.95
GlcCer 40:00,C46H91NO8,[M+Na],808.6642,297.72
GlcCer 40:01,C46H89NO8,[M+Na],806.6486,296.15
GlcCer 40:02,C46H87NO8,[M+Na],804.6329,292.09
GlcCer 40:03,C46H85NO8,[M+Na],802.6173,290.28
GlcCer 41:01,C47H91NO8,[M+Na],820.6642,297.42
GlcCer 41:02,C47H89NO8,[M+Na],818.6486,296.1
GlcCer 42:00,C48H95NO8,[M+Na],836.6955,303.14
GlcCer 42:01,C48H93NO8,[M+Na],834.6799,301.76
GlcCer 42:02,C48H91NO8,[M+Na],832.6642,299.53
GlcCer 42:03,C48H89NO8,[M+Na],830.6486,297.28
GlcCer 43:02,C49H93NO8,[M+Na],846.6799,302.4
GlcCer 43:03,C49H91NO8,[M+Na],844.6642,300.75
GlcCer 44:01,C50H97NO8,[M+Na],862.7112,307.93
GlcCer 44:02,C50H95NO8,[M+Na],860.6955,306.31
GlcCer 44:03,C50H93NO8,[M+Na],858.6799,303.93
GlcCer 36:01,C42H81NO9,[M+Na],766.5809,287.53
GlcCer 38:01,C44H85NO9,[M+Na],794.6122,293.05
GlcCer 42:00,C48H95NO9,[M+Na],852.6904,305.52
GlcCer 42:01,C48H93NO9,[M+Na],850.6748,304.18
GlcCer 42:02,C48H91NO9,[M+Na],848.6591,301.87
GlcCer 43:01,C49H95NO9,[M+Na],864.6904,306.63
GlcCer 43:02,C49H93NO9,[M+Na],862.6748,306.07
GlcCer 44:03,C50H93NO9,[M+Na],874.6748,306.65
GlcCer 44:04,C50H91NO9,[M+Na],872.6591,304.78
Cer 36:00,C36H73NO3,[M+H],568.5668,261.92
Cer 38:00,C38H77NO3,[M+H],596.5981,267.37
Cer 40:00,C40H81NO3,[M+H],624.6294,274.03
Cer 40:02,C40H77NO3,[M+H],620.5981,272.27
Cer 42:00,C42H85NO3,[M+H],652.6607,280.05
Cer 42:01,C42H83NO3,[M+H],650.6451,277.56
Cer 42:02,C42H81NO3,[M+H],648.6294,276.77
Cer 42:03,C42H79NO3,[M+H],646.6138,275.18
Cer 40:00,C40H81NO4,[M+H],640.6244,276.37
Cer 42:00,C42H85NO4,[M+H],668.6556,282.07
Cer 42:01,C42H83NO4,[M+H],666.64,277.99
Cer 42:00,C42H85NO3,[M+Na],674.6427,281.85
16:0-18:2 PA,C37H69O8P,[M+Na],695.4622008,267.6
16:0-18:2 PG,C40H75O10P,[M+Na],769.4989784,281.3
16:0-18:2 PS,C40H74NO10P,[M+Na],782.4942278,282
16:0-20:4 PA,C39H69O8P,[M+Na],719.4622008,272.8
16:0-22:6 PA,C41H69O8P,[M+Na],743.4622008,275.27
16:0-22:6 PS,C44H74NO10P,[M+Na],830.4942278,289.83
18:0-18:2 PA,C39H73O8P,[M+Na],723.4934992,275.27
18:0-18:2 PS,C42H78NO10P,[M+Na],810.5255262,288.73
18:0-20:4 PA,C41H73O8P,[M+Na],747.4934992,279.63
18:0-22:6 PA,C43H73O8P,[M+Na],771.4934992,282.1
18:2 PS,C42H74NO10P,[M+Na],806.4942278,282.53
cis-4-methylsphingosine,C19H39NO2,[M+Na],336.2872838,194.4
MGlc-DAG,C43H80O10,[M+Na],779.5643384,286.87
N-20:4 L-Serine (ARA-S),C23H37NO4,[M+Na],414.2614646,199.77
N-20:4 L-Serine MeEster,C24H39NO4,[M+Na],428.2771138,202.87
16:0-18:2 PC,C42H80NO8P,[M+Na],780.5513454,288.2
16:0-20:4 PG,C42H75O10P,[M+Na],793.4989784,284.83
16:0-20:4 PS,C42H74NO10P,[M+Na],806.4942278,286.47
18:0-20:4 PS,C44H78NO10P,[M+Na],834.5255262,293.43
18:0-22:6 PS,C46H78NO10P,[M+Na],858.5255262,296.2
18:2 PA,C39H69O8P,[M+Na],719.4622008,267.87
20:4 PA,C43H69O8P,[M+Na],767.4622008,275.53
20:4 PG,C46H75O10P,[M+Na],841.4989784,288.7
20:4 PS,C46H74NO10P,[M+Na],854.4942278,290.7
22:6 PS,C50H74NO10P,[M+Na],902.4942278,296.7
CoQ6,C39H58O4,[M+Na],613.4227072,242.53
Monomethyl Sphingosine (d18:1),C19H39NO2,[M+Na],336.2872838,198.47
8(14)-dehydrocholesterol,C27H44O,[M+Na],407.3284178,222.8
18:0-20:4 PE,C43H78NO8P,[M+Na],790.5356962,289.93
22:6 PA,C47H69O8P,[M+Na],815.4622008,281.57
16:0-22:6 PG,C44H75O10P,[M+Na],817.4989784,287.67
18:0-20:4 PG,C44H79O10P,[M+Na],821.5302768,291.03
18:0-22:6 PG,C46H79O10P,[M+Na],845.5302768,294.2
22:6 PG,C50H75O10P,[M+Na],889.4989784,294.77
13(S)HODE,C18H32O3,[M+Na],319.2243526,188.6
15(S)-HAEA,C22H37NO3,[M+Na],386.2665496,199.5
15(S)-HETE,C20H32O3,[M+Na],343.2243526,190.03
18:1 Chol Ester,C45H78O2,[M+Na],673.5893692,287.7
arachidonic acid-alkyne,C20H28O2,[M+Na],323.1981392,174.27
Atheronal A,C27H46O3,[M+Na],441.333897,227.57
C16 LPA,C19H41O6P,[M+Na],419.253282,206.47
09:0 PC,C26H52NO8P,[M+Na],560.3322566,245.87
12:0 PE,C29H58NO8P,[M+Na],602.3792042,256.3
12:0 SM (d18:1/12:0),C35H71N2O6P,[M+Na],669.494168,276.33
16:0 PE,C37H74NO8P,[M+Na],714.5043978,279.67
16:0 PS,C38H74NO10P	,[M+Na],758.4942278,282.97
16:0-a15:0 PC,C39H78NO8P,[M+Na],742.5356962,286.6
24:1(2S-OH) Ceramide,C42H81NO4,[M+Na],686.605747,280
BbGL-2,C43H80O10,[M+Na],779.5643384,288.43
C18(Plasm) LPC,C26H54NO6P,[M+Na],530.3580758,237.23
C18:1 Cyclic LPA,C21H41O5P,[M+Na],427.258367,208.43
C24 Lactosyl(b) Ceramide  (d18:1/24:0),C54H103NO13,[M+Na],996.7321232,325.73
Isodeoxycholic acid,C24H40O4,[M+Na],415.2818644,200.23
N-18:1 L-Serine MeEster,C22H41NO4,[M+Na],406.292763,203.27
N-C24:1-deoxysphingosine,C42H81NO2,[M+Na],654.615917,278.8
RBM14C12,C26H39NO6,[M+Na],484.2669438,219.77
Regadenoson,C15H18N8O5,[M+Na],413.1292302,198.37
Triolein (18:1 TG),C57H104O6,[M+Na],907.7724688,322.7
14:0-d27 Lyso PC,C22H19NO7PD27,[M+Na],517.4571298,229.7
16:0 PC (DPPC),C40H80NO8P,[M+Na],756.5513454,289.3
16:0 stigmasteryl glucose,C51H88O7,[M+Na],835.6421902,319.4
16:1 PE,C37H70NO8P,[M+Na],710.4730994,271.97
"18:1 BMP (S,R)",C42H79O10P,[M+Na],797.5302768,286.97
20:4 Lyso PA,C23H39O7P,[M+Na],481.2325478,209.27
2-18:1 Lyso PE,C23H46NO7P,[M+Na],502.290394,222.93
C16 Ceramide (d14:1/16:0),C30H59NO3,[M+Na],504.4386908,243.33
C18 Ceramide (d17:1/18:0),C35H69NO3,[M+Na],574.5169368,256.33
C20 Ceramide (d17:1/20:0),C37H73NO3,[M+Na],602.5482352,262.97
C24 Ceramide (d17:1/24:0),C41H81NO3,[M+Na],658.610832,276.33
Cholic acid,C24H40O5,[M+Na],431.2767794,195.5
Taurodehydrocholic acid,C26H39NO7S,[M+Na],532.2339308,208.13
Trans-AzCA4,C28H33N3O3,[M+Na],482.2413992,213.73
10:0 Lyso PC,C18H38NO7P,[M+Na],434.2277972,215.03
12:0 Biotin-18:1 PE,C45H83N4O10PS,[M+Na],925.5459432,302.53
14:1 (delta9-Trans) PC,C36H68NO8P,[M+Na],696.4574502,269.03
16:0-(12-PAHSA)-18:1 TG,C71H134O8,[M+Na],1137.997037,366.3
16:0-02:0 PC,C26H52NO8P,[M+Na],560.3322566,241.1
16:0-18:1 Diether PE,C39H80NO6P,[M+Na],712.5615154,280.57
18:0 DG,C39H76O5,[M+Na],647.558465,267.3
18:0 Dibromo MG (S-isomer),C21H40Br2O4,[M+Na],537.1185364,217.63
18:0-PhoDAG,C41H64N2O5,[M+Na],687.4707178,269.93
4ME 16:0 Diether PE,C45H94NO6P,[M+Na],798.6710598,298.1
C16 Galactosyl (a) Dihydroceramide (d18:0/16:0),C40H79NO8,[M+Na],724.5697578,281.63
C18(plasm) MG,C21H42O3,[M+Na],365.3025986,199.5
C22 Ceramide (d14:1/22:0),C36H71NO3,[M+Na],588.532586,262.7
Dimethyl Sphinganine (d18:0),C20H43NO2,[M+Na],352.3185822,198.6
SQDG,C43H76O12S,[M+Na],839.494942,290.37
Ursodeoxycholic acid,C24H40O4,[M+Na],415.2818644,199
14:0-16:0 PC,C38H76NO8P,[M+Na],728.520047,283.83
16:0-18:1 PC,C42H82NO8P,[M+Na],782.5669946,290.43
16:0-i15:0 PC,C39H78NO8P,[M+Na],742.5356962,286.43
16:1 SM (d18:1/16:1(9Z)),C39H77N2O6P,[M+Na],723.5411156,281.33
18:0 PI,C45H87O13P,[M+Na],889.5776186,303.23
18:0-22:6 PE,C45H78NO8P,[M+Na],814.5356962,292.4
19:0 Lyso PC,C27H56NO7P,[M+Na],560.36864,245.6
22:1 (Cis) PC,C52H100NO8P,[M+Na],920.7078374,317.33
7-Ketodeoxycholic acid,C24H38O5,[M+Na],429.2611302,197.1
C8 Lactosyl(b) Ceramide (d18:1/8:0),C38H71NO13,[M+Na],772.481736,279.07
DPH-propionic acid,C21H20O2,[M+Na],327.1355424,198
PGE2-EA,C22H37NO5,[M+Na],418.2563796,206.2
Tauro-omega-muricholic acid,C26H45NO7S,[M+Na],538.2808784,250
05:0 PC,C18H36NO8P,[M+Na],448.207063,210.27
06:0 PE,C17H34NO8P,[M+Na],434.1914138,206.73
16:0 Dodecanylamine PE,C49H97N2O9P,[M+Na],911.6823526,314.77
16:0 Lysyl PG,C44H87N2O11P,[M+Na],873.5939366,302.73
17:0(2R-OH) Ceramide,C35H69NO4,[M+Na],590.5118518,259
18:1 Dodecanyl PE,C53H98NO11P,[M+Na],978.6769332,321.77
C16 Galactosyl (B) Dihydroceramide (d18:0/16:0),C40H79NO8,[M+Na],724.5697578,281.24
C17:1 anandamide,C19H37NO2,[M+Na],334.2716346,187.4
Dehydrolithocholic acid,C24H38O3,[M+Na],397.2713002,194.13
N-C12-desoxymethylsphingosine,C29H57NO2,[M+Na],474.4281266,232.5
Tauro-gamma-muricholic acid,C26H45NO7S,[M+Na],538.2808784,214.7
Taurohyodeoxycholic acid,C26H45NO6S,[M+Na],522.2859634,214.87
13:0 Diether PC,C34H72NO6P,[M+Na],644.4989186,267.63
18:0(2R-OH) Ceramide,C36H71NO4,[M+Na],604.527501,262.03
18:2 Lyso PA,C21H39O7P,[M+Na],457.2325478,206.13
C12 Ceramide (d18:1/12:0),C30H59NO3,[M+Na],504.4386908,240.3
C17 Glucosyl(beta) Ceramide (d18:1/17:0),C41H79NO8,[M+Na],736.5697578,283.4
C18:1 LPA,C21H43O6P,[M+Na],445.2689312,210.3
C18:2 anandamide phosphate,C20H38NO5P,[M+Na],426.2379672,202
C24:1 Galactosyl(alpha) Ceramide (d18:1/24:1(15Z)),C48H91NO8,[M+Na],832.663653,301.17
C24:1 Lactosyl(beta) Ceramide (d18:1/24:1),C54H101NO13,[M+Na],994.716474,321.43
DGTS,C42H81NO7,[M+Na],734.590492,287.9
N-24:0 (2S-OH) Phytosphingosine,C42H85NO5,[M+Na],706.6319604,286.77
N-C12-desoxymethylsphinganine,C29H59NO2,[M+Na],476.4437758,232.9
N-tetradecanoyl-D-homoserine lactone,C18H33NO3,[M+Na],334.2352512,190.7
C2 Ceramide (d17:1/2:0),C19H37NO3,[M+Na],350.2665496,197.73
06:0 PC (DHPC),C20H40NO8P,[M+Na],476.2383614,219.93
18:0 PA,C39H77O8P,[M+Na],727.5247976,279.6
18:1 (delta6-Cis) PC,C44H84NO8P,[M+Na],808.5826438,298.43
1-C16 Ether MG,C19H40O3,[M+Na],339.2869494,193.27
Lactosyl(beta) Sphingosine (d18:1),C30H57NO12,[M+Na],646.3772766,255.53
N-C24:1-desoxymethylsphinganine,C41H81NO2,[M+Na],642.615917,277.43
POVPC,C29H56NO9P,[M+Na],616.35847,258.4
09:0 Lyso PC,C17H36NO7P,[M+Na],420.212148,210.4
"14:0 Hemi BMP (S,R)",C48H96NO11P,[M+Na],916.661284,315.5
16:0 azidocaproyl PE,C43H83N4O9P,[M+Na],853.5789562,301.54
16:0 Lyso PE,C21H44NO7P,[M+Na],476.2747448,221.9
17:0 PC,C42H84NO8P,[M+Na],784.5826438,296.17
20:0 PC,C48H96NO8P,[M+Na],868.676539,312.43
20:4 Lyso PI,C29H49O12P,[M+Na],643.2853688,245.33
3-oxocholic acid,C24H38O5,[M+Na],429.2611302,192.6
7-ketolithocholic acid,C24H38O4,[M+Na],413.2662152,200.47
Adamantanyl GlcCer,C36H63NO8,[M+Na],660.4445642,261.91
BMP22,C22H39O3P,[M+Na],405.2528878,203.7
C12 Sphingosyl PE (d17:1/12:0),C31H63N2O6P,[M+Na],613.4315712,263.94
C8 Ceramide (d17:1/8:0),C25H49NO3,[M+Na],434.3604448,225.3
Hydrogenated MGDG,C43H82O10,[M+Na],781.5799876,293.002
MGDG,C45H74O10,[M+Na],797.5173908,280.556
10:0 PS,C26H50NO10P,[M+Na],590.3064374,242.5
12-PAHSA (C13 labeled),C1813C16H66O4,[M+Na],577.5392204,248.5
"14:0 BMP (S,R)",C34H67O10P,[M+Na],689.4363816,269.2
14:0 PE,C33H66NO8P,[M+Na],658.441801,268.2
16:0 Phosphatidylpropanol,C38H75O8P,[M+Na],713.5091484,277.2
"18:1 Hemi BMP (S,R)",C60H111O11P,[M+Na],1061.775579,340.13
18:1 Succinyl PE,C45H82NO11P,[M+Na],866.5517396,296.8
18:1-16:0 PC,C42H82NO8P,[M+Na],782.5669946,292.2
24:0 PC,C56H112NO8P,[M+Na],980.8017326,333.4
4ME 16:0 PG,C46H91O10P,[M+Na],857.624172,304
C18(2R-OH) Galactosyl(beta) Ceramide,C42H81NO9,[M+Na],766.580322,289.1
Glycoursodeoxycholic acid,C26H43NO5,[M+Na],472.3033272,203.4
Hydrogenated DGDG,C51H96O15,[M+Na],971.664107,318.77
PChcPC,C52H94NO9P,[M+Na],930.6558048,338.7
Sphingosine (d16:1),C16H33NO2,[M+Na],294.2403362,190.1
08:0 PC,C24H48NO8P,[M+Na],532.3009582,237.87
13:0 PC,C34H68NO8P,[M+Na],672.4574502,271.87
14:0 SM (d18:1/14:0),C37H75N2O6P,[M+Na],697.5254664,281.57
16:0 3-deoxy-C1P,C34H68NO5P,[M+Na],624.4727052,264.2
16:0 Diether PC,C40H84NO6P,[M+Na],728.5928138,286.93
16:0(2R-OH) Ceramide,C34H67NO4,[M+Na],576.4962026,256.53
16:0-14:0 PC,C38H76NO8P,[M+Na],728.520047,283.73
16:0-18:1 Phosphatidylethanol-IsoPure,C39H75O8P,[M+Na],725.5091484,276.27
18:1 Cyclic LPA,C21H39O6P,[M+Na],441.2376328,205.63
C10 Ceramide (d18:1/10:0),C28H55NO3,[M+Na],476.4073924,234.9
C6(6-azido) GluCer,C30H56N4O8,[M+Na],623.399014,251.17
Lyso SM (dihydro) (d18:0),C23H51N2O5P,[M+Na],489.342761,232.27
N-C24:1-desoxymethylsphingosine,C41H79NO2,[M+Na],640.6002678,276.23
Sphingosine (d22:1),C22H45NO2,[M+Na],378.3342314,207.6
11:0 PC,C30H60NO8P,[M+Na],616.3948534,260.33
15:0-18:1 DG,C36H68O5,[M+Na],603.4958682,258.03
16:0-succinoyl PC,C28H54NO10P,[M+Na],618.3377358,254.5
18:1 Monomethyl PE,C42H80NO8P,[M+Na],780.5513454,288.17
18:1 PDP PE,C49H85N2O9PS2,[M+Na],963.5326014,313.3
1-desoxymethylsphinganine,C17H37NO,[M+Na],294.2767196,183.43
7a-hydroxycholestenone,C27H44O2,[M+Na],423.3233328,236.87
beta-Muricholic acid,C24H40O5,[M+Na],431.2767794,216.7
C16 Dihydroceramide-1-Phosphate (d18:0/16:0),C34H70NO6P,[M+Na],642.4832694,265.83
C18 Dihydroceramide (d18:0/18:0),C36H73NO3,[M+Na],590.5482352,261.07
C18 Galactosyl(b) Ceramide (d18:1/18:0),C42H81NO8,[M+Na],750.585407,286.27
C18:1(delta9-cis) Carnitine,C25H47NO4,[M+Na],448.3397106,222.3
C24 Mono-Sulfo Galactosyl(b) Ceramide (d18:1/24:0),C48H96N2O11S,[M+Na],931.662667,310.7
Glucosyl(b) Sphingosine (d18:1),C24H47NO7,[M+Na],484.3244556,227.17
OChemsPC,C57H100NO10P,[M+Na],1012.697667,339.13
12:0 Dihydro SM (d18:0/12:0),C35H73N2O6P,[M+Na],671.5098172,276.97
15:0 Lyso PC,C23H48NO7P,[M+Na],504.3060432,231.77
16:0-(12-PAHSA) PC,C58H114NO10P,[M+Na],1038.807212,342.97
16:0-18:0 PC,C42H84NO8P,[M+Na],784.5826438,295
17:1 Lyso PS,C23H44NO9P,[M+Na],532.2645748,224.37
18:0(2S-OH) Sulfo GalCer,C42H81NO12S,[M+Na],846.537139,297.3
