"","mz","rt","LungNodule_2","LungNodule_3","LungNodule_4","LungNodule_5","LungNodule_6","LungNodule_8","LungNodule_9","LungNodule_10","LungNodule_11","LungNodule_12","LungNodule_13","LungNodule_14","LungNodule_15","LungNodule_16","LungNodule_17","LungNodule_18","LungNodule_19","LungNodule_20","LungNodule_21","LungNodule_22","LungNodule_23","LungNodule_24","LungNodule_25","LungNodule_26","LungNodule_27","LungNodule_28","LungNodule_29","LungNodule_33","LungNodule_34","LungNodule_36","LungNodule_37","LungNodule_38","LungNodule_41","LungNodule_42","LungNodule_44","LungNodule_45","LungNodule_46","LungNodule_47","LungNodule_49","LungNodule_50","LungNodule_52","LungNodule_53","LungNodule_55","LungNodule_56","LungNodule_57","LungNodule_58","LungNodule_63","LungNodule_64","LungNodule_65","LungNodule_66","LungNodule_68","LungNodule_72","LungNodule_73","LungNodule_74","LungNodule_75","LungNodule_76","LungNodule_77","LungNodule_78","LungNodule_80","LungNodule_81","LungNodule_82","LungNodule_83","LungNodule_85","LungNodule_86","LungNodule_87","LungNodule_89","LungNodule_91","LungNodule_92","LungNodule_93","LungNodule_97","LungNodule_99","LungNodule_100","LungNodule_101","LungNodule_102","LungNodule_103","LungNodule_105","LungNodule_106","LungNodule_107","LungNodule_108","LungNodule_109_2","LungNodule_110","LungNodule_111","LungNodule_112","LungNodule_113","LungNodule_114","LungNodule_115","LungNodule_116","LungNodule_117","LungNodule_118","LungNodule_119","LungNodule_121","LungNodule_122","LungNodule_124","LungNodule_125"
"group","mz","rt","Cancer","Benign","Benign","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Cancer","Benign","Cancer","Benign","Cancer","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Benign","Benign","Cancer","Cancer","Benign","Cancer","Benign","Benign","Benign","Cancer","Cancer","Cancer","Cancer","Cancer","Benign","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Benign","Cancer","Cancer","Cancer","Benign","Cancer","Cancer","Benign","Benign","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Benign","Cancer","Benign","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Cancer","Benign","Cancer","Benign","Cancer","Cancer"
"M764.558T234","764.558","234","42668","25728","31772","17401","38391","57433","59998","47863","31989","45595","39889","137092","48138","40707","18381","71238","29303","81090","42399","47216","45495","155478","25838","82314","31798","28013","132015","21785","28709","72617","144583","22490","23960","20504","27840","43874","18915","51358","37196","52967","49097","19265","110020","17677","54609","46743","39089","54108","22154","40111","38257","84621","29085","34545","68642","25583","73383","76572","78822","53908","57526","22380","65794","52089","32949","20778","100542","57934","15233","40712","41905","19934","78092","82508","33244","60964","161890","20247","21943","5128","50160","30495","27321","124121","35220","178641","25613","38464","18512","27208","42898","93525","115783","67563"
"M148.0032T200.4","148.0032","200.4","21121","19215","11552","19441","20072","20693","23468","19201","21456","20714","31909","20455","23161","33752","25880","20620","20961","20323","19069","21773","22175","21914","23155","19498","19294","21449","32293","19022","16750","22434","24514","18550","23306","13312","17040","22662","24932","21772","19251","14811","20425","20304","13866","16441","19295","22986","13044","21841","18782","20975","13145","16224","13125","6731","19396","18738","20945","16069","20289","19673","22490","13735","20242","23282","21614","20829","19174","19836","19999","17400","14817","20321","9850","13051","16406","12727","7406","14521","17813","20516","16235","11671","13514","20028","12403","20276","21590","18914","21573","29613","14390","12257","18262","19805"
"M250.9868T83.4","250.9868","83.4","11175","11829","11294","10953","11187","10676","10892","11004","12193","11207","11232","11259","10727","11431","12220","11390","10170","11398","10812","11412","10708","11040","10892","9938","10941","11981","10254","11727","11177","12041","12011","9730","12343","12150","11555","11532","12537","11326","12701","11118","11201","11561","10717","11175","11878","11654","11685","18303","11366","13398","11532","12193","11231","12666","11831","12147","13462","12245","11715","13189","12391","12864","12824","13032","12283","13571","12504","13569","13428","13348","12448","15045","13407","11873","15196","14508","13547","13968","14037","9373","15077","15127","13390","13855","13473","14388","13887","14164","14073","14440","12538","13517","13484","13280"
"M261.1687T395.4","261.1687","395.4","37945","33607","16136","55379","8147","5508","24032","55172","34339","56234","72231","42802","64489","7061","58896","75562","6381","22895","54196","57471","42409","47415","2862","37968","0","30892","2328","49089","25194","39968","77819","0","53136","12625","30588","72013","44699","70891","51647","54574","79139","34325","21055","40427","27758","31093","34044","69270","60050","99040","53368","65378","59260","34521","44162","59587","50971","58620","73320","49799","61489","28147","40230","43115","51443","66280","49665","60041","34236","62178","36387","43091","19763","30154","23410","18138","74306","21739","35581","0","33688","37919","17108","27220","32214","19198","33214","36241","55870","43652","11367","13620","22832","27120"
"M283.1747T118.2","283.1747","118.2","113478","132194","62828","84223","51823","53396","24604","55322","51232","78643","24117","62579","45675","8191","33767","38100","10742","82560","70559","54414","76222","89657","67516","65159","16389","90408","67617","34992","10682","206813","44593","25939","20500","25111","347148","158424","60164","45350","40320","18838","69167","131229","53633","29289","68109","18383","15683","37734","22085","22452","16026","25843","52445","92202","12262","20663","24504","24014","15776","129420","52280","143214","134759","41800","82668","56183","20218","108223","52973","13106","20700","158550","65218","103535","96011","80030","58281","44217","133150","154402","22375","251970","110580","124243","115140","56089","32347","83915","61152","62133","73091","77805","265715","117821"
"M628.36T320.4","628.36","320.4","24666","30186","23174","38854","13415","18806","20510","89434","56913","120887","58547","82187","48221","31253","138685","138794","42788","237560","253744","317152","110553","170116","136830","102615","38604","91049","108046","57129","53709","91078","129539","14148","126843","175729","87135","34308","114094","101042","53848","5772","13406","54250","128422","41886","53681","56885","34096","55144","31931","70916","42408","80345","13221","64865","23612","44065","44628","44807","38487","73262","64554","57369","38929","43043","38259","75224","38907","29647","34997","58596","120575","117472","179485","89011","163386","106321","126567","153500","62370","4869","169143","71385","134621","88718","68031","100649","36347","50315","78554","51773","101439","59689","87460","53212"
"M244.9556T303","244.9556","303","26931","25579","28586","25518","29579","28794","29233","26110","26706","16307","27594","29250","26433","29403","25250","22272","27664","19474","18156","17048","15572","18520","21906","15244","29435","25412","15213","24861","26821","22428","18797","27340","3623","22858","13570","25900","20320","17642","24612","17354","26271","24633","19189","24464","26073","25693","24575","23491","25412","3928","20156","23362","24680","22761","25753","7480","23830","3311","26574","21838","23354","19233","23687","25365","23689","23541","26550","24646","23131","24190","22933","19758","19226","17648","16579","9005","19164","15737","22685","32311","15436","19617","4011","12130","3262","11626","27338","9834","17325","21973","47598","46013","46836","50655"
"M523.0471T199.2","523.0471","199.2","35902","33815","21025","30830","30228","32565","38380","29149","37571","31005","32893","32019","32912","47951","37079","25050","36413","31216","28840","26300","34295","25888","39551","27441","32796","25755","45479","26116","30506","36634","39761","31041","35064","9210","18532","38675","37027","33654","36063","23606","38508","32431","16205","27235","31240","39481","21860","29319","32192","42662","24651","25499","23352","4480","35363","27829","34151","16845","37989","29159","43989","26517","34648","39709","45250","39974","34080","40305","36019","29366","24763","27905","5280","10157","17410","8776","7885","11301","28550","28478","14925","7007","7528","29614","19384","26586","29087","22100","34779","43993","11675","9528","33125","23349"
"M314.0164T348","314.0164","348","23454","19845","23096","19332","26423","23966","24197","17734","22619","17938","25609","15355","17737","35134","30227","21146","35907","22461","16141","12186","18217","13089","27136","16070","32314","18453","17510","24138","29560","19463","12578","40727","6893","0","10151","21475","9224","14285","25622","53268","40185","20843","2461","16326","15673","22458","32877","24857","26301","19367","46957","23743","35785","12641","30342","42382","27276","18711","43127","14930","19535","17505","18760","18511","20655","21357","27889","26320","24902","35833","32181","17584","3255","5502","4781","9086","8858","4630","9917","5304","5198","8170","3856","9944","14876","8524","17953","39692","13156","12330","3539","3913","6729","18907"
"M720.5664T250.2","720.5664","250.2","114208","57406","79503","50265","47947","75059","49062","51216","36870","58203","39151","51059","32374","61675","3359","52614","39060","72769","67959","58258","25632","37905","44941","58553","43342","47894","65045","44493","62795","98566","94802","39836","49564","40247","52742","64999","53874","69949","48032","71451","74097","65435","60190","71264","64695","76022","57484","69030","31218","54092","78794","35213","53336","52631","70149","61382","50881","47811","48630","55420","61705","97226","103695","70756","38254","77980","32131","3227","70408","71047","59160","81222","121713","122297","60882","61552","71491","78348","38801","181934","40804","57728","78820","70697","80579","83460","45272","66644","51744","40981","4151","71398","90604","46144"
"M460.3111T121.8","460.3111","121.8","65070","82401","31111","34274","44157","55150","48458","61056","83969","75742","49066","25452","51307","8289","14177","33417","8225","29569","22028","25220","26037","240457","39721","38497","14039","43378","60740","26624","12094","10813","40198","10138","30360","34452","80926","32270","26767","29807","55337","9686","22057","64136","93508","59808","63605","23058","9396","37316","64341","22910","9357","57203","8280","100665","12121","9017","17415","12837","4427","35644","38084","347876","45982","58518","117282","86716","12085","13515","24519","83341","4726","15440","53564","49602","92501","50800","82846","70518","90174","3372","89820","77539","88673","62261","73070","73878","80764","79762","59221","98002","25834","93305","105261","85985"
"M763.5271T142.8","763.5271","142.8","36679","18841","16180","31631","20928","16209","18371","24999","24396","18840","21086","30806","17341","11810","11044","25989","14943","22568","16819","19415","49109","17594","7700","55042","10876","24200","14387","11067","11264","28296","46043","20047","12392","49892","24635","10270","33246","11112","20247","28445","38059","13728","181615","13249","15724","15238","5063","9087","23385","7052","17018","9063","14089","13912","9717","22437","11317","15388","30170","31430","21355","10980","24704","19689","29050","13061","4570","32716","23671","19924","11324","26874","37597","23178","43741","8964","41351","57335","29481","2265","47343","19562","55837","61488","19405","28983","15817","17375","15201","20446","58502","29908","26869","31773"
"M386.2745T97.2","386.2745","97.2","52434","66824","26687","34448","46323","44535","40556","48533","72680","63725","45299","26505","39952","25716","17500","32997","52131","30705","22862","24729","25544","125373","45020","43192","20687","45188","59831","35605","20186","14470","43281","29348","44369","38043","62662","21698","28668","23004","58901","56353","112556","40612","147137","68957","39329","53005","47277","32667","86010","27042","63676","41120","43805","60962","50917","41129","18258","25971","24260","28499","29512","132809","34905","43800","77823","48615","32444","26268","27309","109336","38624","17252","48187","38060","77182","30652","67485","67727","64892","0","94955","51617","105009","53357","49505","58792","84222","50022","34556","55090","23758","54737","63393","55248"
"M521.4153T127.8","521.4153","127.8","40437","44988","38583","11916","23869","47364","77864","22737","17651","33425","39070","60941","38896","49046","42782","25967","47042","19456","56833","20511","36213","51528","60254","17237","51631","14921","34753","59012","47274","24745","13555","191788","44577","23874","55827","13284","9425","53380","13677","113308","36893","17826","58333","144987","22495","30013","55304","13785","74135","8581","101579","39726","239484","66144","37663","29762","69305","9982","69998","21973","32731","9683","16269","33462","22824","11288","66753","40948","19770","30047","19059","6701","61300","51977","24462","34346","18976","21269","57771","0","43522","17302","58755","19378","7524","10368","36784","15961","27662","31883","116201","22893","23649","31799"
"M785.5429T150.6","785.5429","150.6","38871","20563","17714","33737","27112","21786","25884","27598","31887","17898","28115","37641","28570","15824","16933","36848","19790","29393","22795","21229","55713","20432","32111","57852","15164","25812","18009","15638","18401","30533","51448","12458","12591","44401","33396","14970","32604","12941","26761","10870","28999","17716","160886","23068","21298","21986","6399","11494","18440","9330","6904","11311","7865","16052","9698","8525","15190","18089","3718","37961","27885","13836","31490","25371","38159","14596","5003","14959","30275","20743","13971","29136","40485","26484","44190","11165","52037","63546","32250","0","50294","23818","64134","67979","24395","35190","22753","21847","18489","24722","59506","36622","35481","36394"
"M814.5578T147","814.5578","147","37298","19947","17986","30674","35230","19484","22801","25592","27780","25279","25510","34531","28214","13348","16100","30736","22495","23954","20651","19051","46038","17346","28277","52693","17827","23462","15187","15213","15150","28322","44563","8850","14484","43114","27632","19409","29038","13282","21740","19478","23601","16218","149838","18485","19156","16758","4222","9062","26817","8351","5436","8216","5353","14556","10069","9855","11038","15030","13164","31989","24105","13199","25531","18990","30988","12427","6847","17174","25614","18186","10879","22133","34243","21554","37766","8586","40922","53525","27319","0","43969","19705","53384","59440","20072","29567","18837","17425","15922","22411","57521","30371","30107","31277"
"M279.1702T201.6","279.1702","201.6","37141","77789","30104","54750","43893","27462","30427","21915","51029","46092","61548","46219","64732","13594","12044","11509","28941","10097","3074","5827","53473","40655","68333","55610","59567","49892","89393","39923","89504","58432","39123","103775","53880","46269","41227","38776","12514","86734","286006","105984","69145","22315","35215","70294","62114","66902","60010","75867","104390","22211","92885","60100","80330","18746","63318","103004","37601","48074","49710","55433","78748","32238","70497","61606","112117","31724","35945","107784","40712","64360","9289","25675","40723","34205","94552","22094","216048","66905","44601","5216","192552","33574","65110","32219","30562","42580","139222","33213","121259","140286","99144","9609","77594","32542"
"M1042.7075T127.8","1042.7075","127.8","42285","37729","20631","29516","32678","30998","29384","31984","38293","33837","29405","29053","34167","16041","13973","31771","22808","29027","20985","20661","31038","55847","40881","43608","16157","29524","34949","23126","17278","16865","39625","9993","15492","29251","44446","14620","22922","17570","32738","3863","38368","26889","115765","66413","28235","32980","26984","19191","65307","14843","7458","25024","5407","37421","18743","5219","16249","23596","5102","24084","22532","52720","26665","32467","50140","28342","9794","22025","26341","70693","21075","18890","40660","30702","56055","18544","59790","57830","37313","0","62547","37820","79954","52943","50200","46845","78523","39634","26349","46880","25266","40131","46364","42616"
"M222.07T350.4","222.07","350.4","33762","41504","32723","26722","13879","47217","40758","38381","38609","40616","37242","54719","53351","46068","36587","38046","41628","21206","51644","46100","43280","35075","32348","54678","63849","60336","31625","64562","47519","14773","46293","51782","11945","14903","63704","44212","20618","26171","61297","65855","43564","61788","11182","65901","68308","58509","55932","45884","38241","35530","55433","61644","75358","43153","75283","54919","65341","46387","61746","45633","47842","51250","49472","43478","55189","44753","54847","63073","59555","46014","61959","30501","19588","22765","33876","52252","47234","33693","28472","0","29658","59552","20084","34024","28973","57892","61386","41878","46004","43967","35188","22965","30921","29766"
"M559.4686T91.8","559.4686","91.8","5567","15557","39151","7338","14582","38290","62885","69891","4532","9810","6985","58672","23704","70568","73857","19244","37017","12366","61204","6599","15041","107506","60615","9120","27449","3790","7933","61516","91726","32891","19221","106441","116546","45773","28409","21828","23376","20776","72207","48686","26729","19476","91410","85002","27643","4284","23186","12479","88092","34169","75742","45629","90358","108879","88193","27585","113797","5428","86367","17432","12265","6761","6179","30107","16101","8980","144036","39456","5589","11566","7129","18990","46697","63027","45373","53753","28313","10937","70705","0","77149","9253","84601","36551","8577","15988","80938","6684","47988","82753","152909","33490","176388","82970"
"M726.5095T117","726.5095","117","48617","28253","27160","47412","34288","21300","14705","28996","21657","24657","23269","48624","20437","4056","7272","29673","5884","66919","29369","30819","97262","21160","81290","100153","6552","41220","33620","5545","6238","92991","80043","5142","11334","69759","43445","14816","47631","23530","10402","5873","10174","19364","265222","10741","28764","6455","4420","30005","6431","13994","4724","8100","2235","22602","2845","4619","7740","7144","6341","80026","37883","14452","44075","18050","25874","15817","0","6256","14854","13622","6922","51855","57017","44820","66986","16757","106708","121441","70563","0","78256","51115","102927","147369","62398","67226","10711","20743","41818","51656","158678","66604","66365","68779"
"M1158.7923T120.6","1158.7923","120.6","37856","24793","22463","35032","33636","29271","25359","27593","36072","23960","31908","43945","34448","5143","12046","40302","7007","39471","25308","15900","52662","28978","39976","48099","11966","24785","24204","13047","14299","30603","40993","4170","9287","28298","42481","17914","23909","14399","20842","4112","9716","26652","14879","33596","31475","12458","3430","16318","21009","13904","2985","17738","2886","33082","2657","3087","14971","15444","4108","46465","42676","35847","51761","34513","59940","31493","2110","9278","29302","54367","4090","31169","33501","26580","44657","13626","63146","57593","38283","0","56493","42643","64863","69426","53343","46178","35478","42534","30283","48553","60727","51976","64392","56466"
"M756.5221T154.2","756.5221","154.2","36819","19782","18955","30846","26126","21072","27413","27522","32938","19667","29195","34322","26561","17159","15827","37339","22050","27400","23851","19134","51197","21755","30724","53300","15357","24793","18173","16915","17723","26166","46285","12026","12760","43136","32877","13478","30561","14918","26425","5546","31559","17574","152800","24353","20618","22337","5736","11529","19825","9806","7808","10782","6749","18693","10689","8548","14500","18859","11270","33676","25148","15631","29316","25618","41519","18291","4372","14645","29403","21163","12448","30195","39598","28084","46921","12381","50228","62719","29707","0","51232","24609","65152","62494","24004","35118","25206","21748","19120","25808","51770","35975","32856","35959"
"M339.134T186","339.134","186","102189","108892","66725","32905","76528","75545","67801","80888","92905","79838","55419","50761","60199","77533","77239","54021","71916","52502","35296","49215","75891","66388","58211","49327","52566","65035","56900","56950","55937","48114","54609","20688","52823","27293","44984","51464","61632","60933","39758","18001","35469","40454","29948","27323","38681","43573","11828","32049","16751","34517","12697","22442","4079","5318","28634","14228","21732","18332","18400","30430","31517","26867","28611","23825","26729","30549","18952","19527","18777","15161","19417","23147","6694","10572","21678","15358","13792","11469","24752","7936","18806","8425","21066","21232","14812","20227","18587","11263","17981","9068","8236","4220","6831","8697"
"M1100.7498T124.2","1100.7498","124.2","36237","26779","19393","28700","30902","27261","24016","26627","32228","24916","26064","29264","30118","9083","12156","31433","12982","29764","19456","16077","36275","37200","36234","39209","14038","24156","25674","17820","14651","19885","33634","3489","10689","25832","37085","13238","19859","13798","25404","3397","18392","21279","107710","53032","23347","21440","10340","15120","34469","11430","2900","23706","2759","30467","6813","2481","17435","21057","2329","26603","27794","33864","32803","32936","61107","27959","5057","14896","30504","69551","8175","21616","32805","25384","42827","14034","53864","49950","32877","0","51843","35449","65862","46159","43095","41043","59604","40055","24310","43979","33578","37914","47087","41696"
"M718.5671T249","718.5671","249","43094","28172","42004","43383","27028","41628","30324","24778","29628","26807","25622","38642","23607","40621","28042","20388","25055","37213","34506","43863","22060","33343","36317","46069","29489","47780","53907","32813","62519","47390","81398","30459","36775","35313","33247","36165","42465","33955","39760","61840","53129","40427","45350","38056","39116","54507","32901","49764","28164","32061","42550","36563","47918","28276","48987","55280","53288","31813","42978","33874","46062","63083","65931","41093","28375","49342","30463","38847","29392","46244","27008","48696","57566","61314","44323","33005","47027","34633","25242","26392","29426","24988","33616","44830","29206","52559","31525","44050","36843","33220","43332","39363","64819","38641"
"M556.996T297","556.996","297","32474","33922","36328","32138","33051","34533","36571","32725","34863","33979","33888","34318","33795","35971","33515","24563","33056","22991","23029","29070","31875","33892","28548","35505","32933","33676","31709","31345","31499","29603","28655","29528","36615","38369","33866","30948","23771","25930","28785","23282","33813","33548","31187","30725","32101","31835","29737","34401","29576","22576","20713","29566","27563","30794","32968","30961","32225","28801","30362","29560","30804","21680","31928","34616","31358","30662","28544","29253","30361","27149","25755","25418","25939","22332","27890","25476","23005","30216","24893","40907","26115","21671","27248","26114","22019","26056","34828","62434","90146","171682","267917","276202","312568","298685"
"M521.2919T271.8","521.2919","271.8","48570","65022","26306","29366","47383","32703","33463","38197","74631","41959","43406","13054","30471","30079","18578","22211","35839","16840","14915","17077","10286","143955","29301","29921","17060","32183","49108","41887","13420","7586","46333","46081","29735","19258","60752","39209","26008","30836","40464","44511","63345","28400","39331","34978","21714","33421","38243","26723","62594","26548","49089","24971","35663","43717","46076","67216","13314","16589","21314","21046","19772","240648","25372","46044","75112","51627","37413","25571","30366","76453","29267","8398","31089","28024","38348","25651","46553","54565","18873","0","39284","32216","55125","19565","30319","46017","57087","27993","18203","25688","2434","7019","6956","5858"
"M220.0676T435.6","220.0676","435.6","14479","12377","19917","15506","18867","16062","14995","15338","13174","11401","15756","10843","13997","23914","16576","12773","22462","20759","11963","8544","7277","4964","17114","8079","30032","6605","12578","22899","26060","12001","12234","28060","8903","2368","11821","11968","12521","10712","10282","30735","21766","14248","2878","8654","15525","15311","26188","19315","14720","16315","25400","12532","20886","12293","24319","23826","12216","21604","17271","12474","14177","15040","11848","13882","14586","16472","16215","19460","18181","13008","17694","10380","2308","3421","6087","7214","5563","3545","2660","5048","3109","12260","2111","10455","11420","11087","13075","12911","11561","11133","3175","7884","11454","8492"
"M525.2874T171.6","525.2874","171.6","48628","156773","42169","57638","81789","26287","39583","79656","35867","99075","23751","83434","37952","36257","25633","87803","39585","59393","42683","40122","64093","43511","40268","59603","45671","54258","279299","123023","16542","865618","121226","30287","19506","49687","104901","30063","37548","76589","21659","70322","45708","35710","132072","26037","36574","29623","24130","15535","16241","48863","46614","15421","49453","56414","41795","40800","46651","263776","29171","115716","19713","27187","56044","19223","53313","26804","61319","1145468","28011","27618","116352","130525","40767","63198","78977","46148","82563","34780","92767","1265093","23071","173396","53515","92119","114381","16189","32510","110481","14480","14908","22207","16853","92563","19277"
"M773.0757T199.2","773.0757","199.2","44855","44568","40073","36293","40305","40851","46674","43305","45944","31051","36599","33995","36302","59849","44393","24254","46225","39950","32010","23443","35383","23320","51576","28007","43318","22577","44396","24974","46038","44633","40955","44298","34161","3513","13809","49739","38301","34928","45079","37817","47983","35360","15708","33822","32205","42863","31236","25787","42374","52663","38751","26216","31795","3959","40549","32482","37144","11688","46846","25801","47059","44626","40038","41796","55350","47049","44360","54216","43303","31876","27129","24436","2686","7454","10680","4441","6042","5764","24892","24938","8705","4853","3340","28103","28305","22207","23650","20262","35475","37335","7492","4351","33797","16880"
"M734.5067T145.8","734.5067","145.8","38870","21535","16621","33614","24755","6115","24276","26501","28018","20435","27170","35204","23876","11163","13319","34152","14732","25875","20803","20454","57673","22165","29009","56866","12020","25147","17739","12180","12717","27536","50958","8831","12899","47349","30292","11859","32279","11969","23308","21910","23514","15947","174578","16692","18889","17331","4958","9549","13506","8263","6469","8907","5576","15774","8442","10918","11616","13648","13014","31828","21187","13777","23916","20472","34896","15983","3559","12283","24563","23753","11743","28288","40288","24245","44837","10147","45406","57037","29167","0","50598","21099","62007","62959","19743","32155","19757","19521","17932","22520","52919","34509","31900","33355"
"M414.3003T212.4","414.3003","212.4","38346","61098","34457","28941","60629","65069","82378","88473","13198","17586","19856","205810","28139","54582","67457","13384","153952","49314","71846","97410","5911","39126","29927","130478","29316","124153","4401","25005","95290","16533","98320","128381","26374","18502","75448","4398","142211","47194","13231","10194","55094","47263","36004","98369","12039","99052","29967","54166","163150","33742","230861","54395","124564","39470","22121","14745","64708","39604","5043","15483","93244","7031","12075","29107","37167","119866","9222","23020","101567","46487","45167","86244","100492","89757","31941","46529","80661","42132","109884","0","31746","60175","61786","89105","67943","12093","146402","70670","51615","67061","91597","48174","76023","5947"
"M262.8886T403.8","262.8886","403.8","16427","14727","19859","13076","27485","22490","22982","6251","18208","5285","10513","15378","10023","28262","14459","12682","26925","19685","13646","10092","5594","6156","20267","21497","31190","12969","21164","24755","29579","21002","11251","22384","15211","2683","12601","21247","12842","13950","6488","34189","26440","17062","0","10665","14641","8461","29745","21911","9073","19396","27839","22262","36860","7388","23602","36482","13913","16014","33407","7037","14298","11012","8578","9805","10659","10324","10881","19132","16479","26739","29776","8447","0","0","3172","6458","2774","0","2545","0","0","20795","2959","8977","8095","4592","9421","5404","11271","6135","4352","4459","4547","4604"
"M706.3283T333.6","706.3283","333.6","69538","76810","68777","79727","45984","100383","69871","42424","47507","44497","56943","36727","39412","15464","25074","13974","16477","18745","18124","34609","79424","71543","50546","99092","17038","61634","80189","40408","29426","45473","86402","14436","42952","90669","74905","19107","46164","42277","56117","13145","33828","108633","83707","68924","73165","80833","17969","60528","37726","67447","30458","77244","20212","93854","40320","31262","111511","46111","19417","97090","77889","77892","45684","66587","48096","74131","43018","33223","41632","73875","35322","80962","113088","102707","82550","126050","106028","111810","83496","0","102088","86798","95914","61399","42442","80275","95134","85183","48149","51878","57974","79711","80740","69741"
"M228.0112T123.6","228.0112","123.6","8876","12801","11360","14282","10350","11157","14236","14803","10882","17030","14931","10754","20785","11001","13197","15252","11539","11489","11503","14252","19135","16192","9312","13683","10135","14694","15870","11625","9517","14835","18311","3101","12684","10406","13282","19837","22410","24011","11282","8932","5593","19018","7128","10823","15169","12925","8264","16752","13796","15624","9597","13301","9490","13754","13919","14011","12830","13746","12932","14802","11637","16613","18998","14754","11595","12813","14085","9049","16954","9228","10172","12712","5254","6282","12580","9504","12548","6881","12808","9835","11297","11683","9191","5553","13272","15082","12947","11056","18373","13823","10378","16215","8270","11737"
"M249.1067T168.6","249.1067","168.6","49605","84954","43617","34710","43588","45263","50846","84933","44742","57539","80897","73842","71728","109754","61970","98330","45400","73262","75138","84127","63143","85422","50040","55961","37781","46583","61173","70125","91262","57621","76780","38465","39385","70692","82957","51864","32748","35560","66745","17794","38884","45120","56827","41218","94526","65977","27589","39712","20664","18527","14435","51407","5840","7440","77000","24231","21101","80953","46053","65674","36961","37114","46242","66219","46127","42672","41150","35258","46880","58873","58133","39474","40431","29407","50895","77757","60846","64096","33857","7614","80271","47119","47774","122350","42103","75415","31926","17639","30019","20290","55281","52140","24081","27875"
"M448.3402T289.2","448.3402","289.2","75363","42816","31280","10529","25796","105474","21778","60650","53736","14503","22814","47705","21811","35811","23728","14419","72248","14964","34491","23383","34307","37609","54197","23246","148581","40977","52379","146817","67008","17946","15987","179877","8037","29707","48875","20632","26713","9985","114482","13345","131384","24847","31222","176534","72091","36187","67361","17082","9179","21349","88723","65544","36834","25703","101722","62156","67815","23662","88190","48730","49425","45422","23992","64501","66857","27242","70134","70382","60847","115225","116989","11353","39106","34216","22840","23624","26803","25238","21389","4373","88198","76277","15160","58352","35445","99340","78024","59388","34490","100732","43505","46944","54752","42950"
"M712.4926T136.8","712.4926","136.8","24687","13875","10942","21821","14287","10048","14617","16270","15028","13660","13740","23266","11749","22185","15703","18590","39650","16113","11247","14091","33014","15535","18594","37793","30617","16559","11449","18666","22733","19080","33073","29629","10793","47352","17632","15146","25825","8094","24807","19638","68371","11984","161732","38013","12899","31778","18982","7059","50374","8854","31625","9082","21206","11063","22726","28120","20423","30620","35769","24673","27401","9968","37177","30522","54181","18484","8200","46359","55499","19280","29687","23066","32923","20577","39012","8563","35615","48235","23774","0","42500","15628","46660","46375","14221","22890","31751","22958","12618","14646","45489","28605","25810","27025"
"M177.0246T372","177.0246","372","26714","21918","19121","19438","27681","30373","19968","13561","18081","7250","16922","14679","17815","34934","19723","14557","56248","36791","12825","7716","6194","2970","33898","6910","44728","9759","20489","28432","30996","13720","9056","55043","6616","0","8695","18868","9021","11341","12638","79257","29544","17077","0","8541","11258","13139","53220","26471","15843","26457","61987","18625","48238","8139","30624","37875","21985","15109","41303","9538","13456","16037","12777","15313","15140","26430","21392","22205","23209","35501","30636","13469","2612","3588","2227","7503","4382","3010","3853","0","2855","6605","0","6327","4810","5015","8760","7360","8689","6582","2036","3071","3689","3811"
"M500.2148T148.2","500.2148","148.2","19130","18860","10426","7357","6697","10071","16037","17533","12423","22372","18879","13735","12388","29003","21750","26794","21483","12424","35229","23208","13183","10003","15796","14343","31455","10711","22477","15254","12181","12686","27595","54568","6056","7617","29216","18933","30410","21478","51690","27756","34091","51254","19032","97400","55920","65157","36905","25305","37393","13469","46843","24813","16712","46587","43678","41618","33267","6648","38292","44180","24486","49883","51341","32153","61350","16247","125321","31782","55260","32402","165469","18773","8831","11946","6598","26761","39614","39031","12713","0","17063","22552","26498","14975","22105","48569","41935","35558","25004","42024","31159","47659","25112","27580"
"M828.5758T127.2","828.5758","127.2","31828","16228","16035","24535","21015","17224","13970","15799","17232","14417","19952","35044","21494","5647","10363","24929","9265","29405","17860","14528","35604","9396","4841","44862","15083","18568","16908","10666","13789","34837","34234","2962","6322","21932","26427","7944","20214","10597","13219","2972","4848","11724","101758","24599","21621","17562","8115","14253","15701","8191","2422","13217","0","17029","4501","2067","14517","19412","2850","43816","34145","9254","37065","17713","23558","12103","2330","10518","37452","33679","10716","18124","22531","19486","29940","8813","49298","53624","30399","0","39674","26375","51098","59313","34387","30762","25306","26011","18879","27140","63227","29081","34182","33852"
